datetime,location,mean_height,sd_height
2020/09/01,Vegetated,0.084937078,0.09026711
2020/09/01,Isoyake,0.016948925,0.018187757
2020/10/01,Vegetated,0.111214385,0.096878697
2020/10/01,Isoyake,0.021721598,0.017692297
2020/11/01,Vegetated,0.062324027,0.032379369
2020/11/01,Isoyake,0.016953007,0.012083597
2020/12/01,Vegetated,0.069803701,0.02794811
2020/12/01,Isoyake,0.014356351,0.006816639
2021/01/01,Vegetated,0.101828736,0.073498788
2021/01/01,Isoyake,0.021746606,0.01413966
2021/02/01,Vegetated,0.053730971,0.03536925
2021/02/01,Isoyake,0.017750391,0.016559462
2021/03/01,Vegetated,0.083105129,0.070122787
2021/03/01,Isoyake,0.018905113,0.019691042
2021/04/01,Vegetated,0.076497309,0.067668561
2021/04/01,Isoyake,0.01472197,0.012543433
2021/05/01,Vegetated,0.031012989,0.024011682
2021/05/01,Isoyake,0.00814301,0.006374625
2021/06/01,Vegetated,0.030636716,0.025128557
2021/06/01,Isoyake,0.006418331,0.00553754
2021/07/01,Vegetated,0.026072252,0.019913809
2021/07/01,Isoyake,0.005961039,0.003195555
2021/08/01,Vegetated,0.050460399,0.042486094
2021/08/01,Isoyake,0.020788093,0.022748425
2021/09/01,Vegetated,0.067960852,0.056766094
2021/09/01,Isoyake,0.015695434,0.0139464
2021/10/01,Vegetated,0.078255897,0.061170822
2021/10/01,Isoyake,0.0190129,0.014104779
2021/11/01,Vegetated,0.048739519,0.02350402
2021/11/01,Isoyake,0.01176737,0.005841503
2021/12/01,Vegetated,0.086269088,0.064817717
2021/12/01,Isoyake,0.018651247,0.013251509
