datetime,location,trans,species,size,habitat,s_class
2020-09-01T00:00:00Z,Vegetated,Shallow,hcra,5,crevice,medium
2020-09-01T00:00:00Z,Vegetated,Shallow,hcra,3.5,crevice,medium
2020-09-01T00:00:00Z,Vegetated,Shallow,hcra,4.5,crevice,medium
2020-09-01T00:00:00Z,Vegetated,Shallow,dset,6,crevice,large
2020-09-01T00:00:00Z,Vegetated,Shallow,dset,2.5,crevice,small
2020-09-01T00:00:00Z,Vegetated,Shallow,hcra,5,crevice,medium
2020-09-01T00:00:00Z,Vegetated,Shallow,hcra,5,crevice,medium
2020-09-01T00:00:00Z,Vegetated,Shallow,hcra,5,crevice,medium
2020-09-01T00:00:00Z,Vegetated,Shallow,hcra,5,crevice,medium
2020-09-01T00:00:00Z,Vegetated,Shallow,hcra,5,crevice,medium
2020-09-01T00:00:00Z,Vegetated,Shallow,hcra,4.5,crevice,medium
2020-09-01T00:00:00Z,Vegetated,Shallow,hcra,3,crevice,small
2020-09-01T00:00:00Z,Vegetated,Shallow,dset,4.5,crevice,medium
2020-09-01T00:00:00Z,Vegetated,Shallow,dset,5,crevice,medium
2020-09-01T00:00:00Z,Vegetated,Shallow,dset,6,crevice,large
2020-09-01T00:00:00Z,Vegetated,Shallow,hcra,7,crevice,large
2020-09-01T00:00:00Z,Vegetated,Shallow,hcra,4.5,crevice,medium
2020-09-01T00:00:00Z,Vegetated,Shallow,hcra,3,crevice,small
2020-09-01T00:00:00Z,Vegetated,Shallow,hcra,3,crevice,small
2020-09-01T00:00:00Z,Vegetated,Shallow,hcra,5,crevice,medium
2020-09-01T00:00:00Z,Vegetated,Shallow,hcra,5,crevice,medium
2020-09-01T00:00:00Z,Vegetated,Shallow,hcra,4,crevice,medium
2020-09-01T00:00:00Z,Vegetated,Shallow,hcra,5,crevice,medium
2020-09-01T00:00:00Z,Vegetated,Shallow,hcra,2,crevice,small
2020-09-01T00:00:00Z,Vegetated,Shallow,hcra,5,burrow,medium
2020-09-01T00:00:00Z,Vegetated,Shallow,hcra,5,crevice,medium
2020-09-01T00:00:00Z,Vegetated,Shallow,hcra,5,crevice,medium
2020-09-01T00:00:00Z,Vegetated,Shallow,hcra,5.5,crevice,medium
2020-09-01T00:00:00Z,Vegetated,Shallow,hcra,5.5,crevice,medium
2020-09-01T00:00:00Z,Vegetated,Shallow,hcra,5.5,crevice,medium
2020-09-01T00:00:00Z,Vegetated,Shallow,dset,4.5,crevice,medium
2020-09-01T00:00:00Z,Vegetated,Shallow,hcra,3,crevice,small
2020-09-01T00:00:00Z,Vegetated,Shallow,dset,3.5,crevice,medium
2020-09-01T00:00:00Z,Vegetated,Shallow,hcra,3,crevice,small
2020-09-01T00:00:00Z,Vegetated,Deep,dset,6.5,crevice,large
2020-09-01T00:00:00Z,Vegetated,Deep,hcra,5.5,crevice,medium
2020-09-01T00:00:00Z,Vegetated,Deep,dset,5,crevice,medium
2020-09-01T00:00:00Z,Vegetated,Deep,dset,5,free,medium
2020-09-01T00:00:00Z,Vegetated,Deep,dset,6,free,large
2020-09-01T00:00:00Z,Vegetated,Deep,dset,5,free,medium
2020-09-01T00:00:00Z,Vegetated,Deep,dset,7,free,large
2020-09-01T00:00:00Z,Vegetated,Deep,dset,5,free,medium
2020-09-01T00:00:00Z,Vegetated,Deep,dset,6,free,large
2020-09-01T00:00:00Z,Vegetated,Deep,dset,6.5,crevice,large
2020-09-01T00:00:00Z,Vegetated,Deep,dset,8,free,large
2020-09-01T00:00:00Z,Vegetated,Deep,tpil,10,crevice,large
2020-09-01T00:00:00Z,Vegetated,Deep,dset,7,free,large
2020-09-01T00:00:00Z,Vegetated,Deep,dset,5,crevice,medium
2020-09-01T00:00:00Z,Vegetated,Deep,dset,3,crevice,small
2020-09-01T00:00:00Z,Vegetated,Deep,dset,4,crevice,medium
2020-09-01T00:00:00Z,Vegetated,Deep,dset,6,free,large
2020-09-01T00:00:00Z,Vegetated,Deep,dset,9,free,large
2020-09-01T00:00:00Z,Vegetated,Deep,dset,6,free,large
2020-09-01T00:00:00Z,Vegetated,Deep,dset,6,crevice,large
